price,sale,resoloution,ppi,cores,cpu,memory,storage,rearcam,frontcam,battery
2357,10,5.2,424,8,1.35,16,3,13,8,2610
1749,10,4,233,2,1.3,4,1,3.15,0,1700
1916,10,4.7,312,4,1.2,8,1.5,13,5,2000
1315,11,4,233,2,1.3,4,0.512,3.15,0,1400
1749,11,4,233,2,1.3,4,1,3.15,0,1700
2137,12,5.5,401,4,2.3,16,2,16,8,2500
1238,13,4,233,2,1.2,8,1,2,0,1560
2137,13,5.5,401,4,2.3,16,2,16,8,2500
1315,14,4,233,2,1.3,4,0.512,3.15,0,1400
2580,15,5.1,432,4,2.5,16,2,16,2,2800
2438,16,5.3,277,8,1.5,32,4,13,8,4000
2006,16,5.5,200,8,1.4,4,1,5,0,2500
2174,16,5,294,4,1.3,16,1,13,5,2000
2744,16,5.6,524,4,2.7,32,3,16,3.7,3000
2580,16,5.1,432,4,2.5,16,2,16,2,2800
1612,17,5,294,4,1.2,8,1.5,8,1.2,2040
2258,17,5,441,4,2.3,16,2,13,2,2300
2938,19,5.5,534,4,1.875,32,4,12.3,8,3450
1612,19,5,294,4,1.2,8,1.5,8,1.2,2040
1238,20,4,233,2,1.2,8,1,2,0,1560
2438,21,5.3,277,8,1.5,32,4,13,8,4000
2392,22,5.2,282,8,1.4,32,3,13,16,2900
2977,22,5.1,577,8,2.3,32,4,12,5,3000
2744,23,5.6,524,4,2.7,32,3,16,3.7,3000
1942,24,4.7,469,4,2.15,16,2,16,4,2200
1390,24,5,220,4,1.2,8,1,5,5,1905
2006,24,5.5,200,8,1.4,4,1,5,0,2500
2938,25,5.5,534,4,1.875,32,4,12.3,8,3450
1390,25,5,220,4,1.2,8,1,5,5,1905
1950,26,5,187,4,1.3,8,1,8,2,2000
2258,26,5,441,4,2.3,16,2,13,2,2300
2977,26,5.1,577,8,2.3,32,4,12,5,3000
3316,26,5.2,428,8,1.75,32,3,20.7,5.1,2930
2654,30,5.7,386,8,1.55,32,2,16,5,3050
1421,31,4,233,2,1,4,0.512,2,0,1200
2654,32,5.7,386,8,1.55,32,2,16,5,3050
1942,34,4.7,469,4,2.15,16,2,16,4,2200
2124,35,10.1,224,4,2.26,16,2,5,2,7400
1777,36,5.5,178,4,1.3,4,0.512,5,0,2250
2392,36,5.2,282,8,1.4,32,3,13,16,2900
2124,37,10.1,224,4,2.26,16,2,5,2,7400
2087,37,5,294,4,1.3,32,3,8,5,2450
1843,38,4.5,218,4,1.3,8,1,5,0,1600
2087,40,5,294,4,1.3,32,3,8,5,2450
2859,40,5.7,515,4,1.875,64,4,12,5,3500
1989,40,5,294,4,1.3,16,2,13,5,2500
1421,40,4,233,2,1,4,0.512,2,0,1200
3316,41,5.2,428,8,1.75,32,3,20.7,5.1,2930
1843,41,4.5,218,4,1.3,8,1,5,0,1600
2685,42,5.7,386,8,1.8,32,3,21,5,3050
1741,43,4.5,245,4,1.2,8,1,5,0,2390
1347,43,7,170,2,1.3,4,0.512,2,0,2820
2859,43,5.7,515,4,1.875,64,4,12,5,3500
3658,45,5.15,428,8,2.45,64,6,12,8,3350
1984,45,5,294,4,1,8,1,8,5,3140
1777,45,5.5,178,4,1.3,4,0.512,5,0,2250
3658,52,5.15,428,8,2.45,64,6,12,8,3350
1984,57,5,294,4,1,8,1,8,5,3140
1989,57,5,294,4,1.3,16,2,13,5,2500
1741,57,4.5,245,4,1.2,8,1,5,0,2390
2824,58,5.5,401,6,1.53,32,3,21,8,3500
2746,66,5.5,401,4,1.83,64,4,13,5,4000
1347,67,7,170,2,1.3,4,0.512,2,0,2820
2323,71,4.8,306,8,1.7,16,1,8,5,2100
2685,72,5.7,386,8,1.8,32,3,21,5,3050
2824,73,5.5,401,6,1.53,32,3,21,8,3500
2746,75,5.5,401,4,1.83,64,4,13,5,4000
2044,82,8,283,8,2,8,2,5,2,4060
1734,87,4.5,245,4,1.2,4,1,8,0,1840
2323,87,4.8,306,8,1.7,16,1,8,5,2100
1734,89,4.5,245,4,1.2,4,1,8,0,1840
2276,91,5,294,8,1.5,16,2,13,5,2300
2044,93,8,283,8,2,8,2,5,2,4060
3116,94,5.5,401,8,1.5,64,4,13,16,3200
2571,96,4.8,306,4,1.2,16,2,8,5,2000
2276,98,5,294,8,1.5,16,2,13,5,2300
2571,100,4.8,306,4,1.2,16,2,8,5,2000
1396,101,7,170,4,1.2,4,1,3,0,3240
2714,101,5.5,401,8,1.35,16,2,13,5,2300
3005,103,5.7,515,8,1.8,32,4,16,5,3000
2714,106,5.5,401,8,1.35,16,2,13,5,2300
791,106,1.5,121,1,0.208,0,0.004,0,0,800
3005,109,5.7,515,8,1.8,32,4,16,5,3000
3837,111,5.43,541,4,1.875,128,6,16,8,3600
1646,113,8,160,4,1.2,8,1,5,5,4500
1396,114,7,170,4,1.2,4,1,3,0,3240
791,114,1.5,121,1,0.208,0,0.004,0,0,800
3837,119,5.43,541,4,1.875,128,6,16,8,3600
1302,121,4,235,2,1.2,8,1,2,0,1500
1302,140,4,235,2,1.2,8,1,2,0,1500
1646,141,8,160,4,1.2,8,1,5,5,4500
1831,143,5,294,4,1.2,8,1,13,5,2100
1831,156,5,294,4,1.2,8,1,13,5,2100
1810,164,8,189,4,1.2,16,1.5,3.15,1.2,4450
1511,164,4.5,221,4,1.2,8,0.512,5,0,1830
1810,166,8,189,4,1.2,16,1.5,3.15,1.2,4450
2562,178,6,367,8,1.7,16,2,13,13,2930
2562,179,6,367,8,1.7,16,2,13,13,2930
1522,187,5,220,2,1.2,0,1,8,0,2500
1511,198,4.5,221,4,1.2,8,0.512,5,0,1830
2343,198,5.1,432,4,2.5,16,2,16,2,2800
833,201,2.4,166,0,0,0,0.008,0,0,1100
1522,204,5,220,2,1.2,0,1,8,0,2500
2343,206,5.1,432,4,2.5,16,2,16,2,2800
2744,208,5,440,8,1.25,16,2,16,8,2700
833,213,2.4,166,0,0,0,0.008,0,0,1100
2744,214,5,440,8,1.25,16,2,16,8,2700
1676,256,5,294,4,1.2,16,1,10,0.9,2200
1676,268,5,294,4,1.2,16,1,10,0.9,2200
2858,285,5.7,513,4,1.875,32,4,16,5,3200
754,299,2.4,167,0,0,0.004,0.004,0,0,850
2975,302,5.5,534,8,1.6,32,3,16,8,3000
2975,307,5.5,534,8,1.6,32,3,16,8,3000
754,308,2.4,167,0,0,0.004,0.004,0,0,850
2880,309,5.1,432,8,2.1,32,4,20,8,3200
2858,309,5.7,513,4,1.875,32,4,16,5,3200
3287,344,5.5,401,8,2,32,4,12,13,5000
3287,367,5.5,401,8,2,32,4,12,13,5000
2054,373,5.5,403,8,1.35,16,2,21,5,3630
1734,378,4,245,4,1.2,4,0.512,5,2,1730
1734,382,4,245,4,1.2,4,0.512,5,2,1730
2054,385,5.5,403,8,1.35,16,2,21,5,3630
2001,393,5.7,258,4,1.2,16,2,8,1,3400
2001,399,5.7,258,4,1.2,16,2,8,1,3400
2880,418,5.1,432,8,2.1,32,4,20,8,3200
705,423,2.2,128,0,0,0.128,0.032,2,0,900
705,427,2.2,128,0,0,0.128,0.032,2,0,900
2491,455,12.2,247,8,1.6,32,3,8,2,9500
2491,456,12.2,247,8,1.6,32,3,8,2,9500
2466,499,5.5,534,4,2.7,32,3,13,2.1,3000
1357,523,4.66,200,4,1.2,0,0,5,0,2600
1357,564,4.66,200,4,1.2,0,0,5,0,2600
2466,567,5.5,534,4,2.7,32,3,13,2.1,3000
2266,599,5,294,8,1.4,8,1,8,8,1900
2266,615,5,294,8,1.4,8,1,8,8,1900
2445,616,5,294,4,1.3,32,3,8,5,4000
2445,678,5,294,4,1.3,32,3,8,5,4000
3116,996,5.5,401,8,1.5,64,4,13,16,3200
2409,1009,5,441,4,2.3,32,2,4,5,2600
2409,1043,5,441,4,2.3,32,2,4,5,2600
628,1224,2.2,128,0,0,0.256,0.128,1.3,0,950
628,1274,2.2,128,0,0,0.256,0.128,1.3,0,950
2508,1530,5.2,424,4,2.5,16,3,20.7,2.2,3100
2508,1584,5.2,424,4,2.5,16,3,20.7,2.2,3100
1921,1781,6,184,4,1.3,8,1,13,8,2580
1921,1862,6,184,4,1.3,8,1,13,8,2580
3102,2071,5.5,806,8,1.75,32,3,23,5.1,3430
3102,2088,5.5,806,8,1.75,32,3,23,5.1,3430
3055,2106,5.5,401,4,1.875,64,6,16,8,3000
614,2159,1.4,129,0,0,0,0.004,0,0,800
614,2171,1.4,129,0,0,0,0.004,0,0,800
3055,2173,5.5,401,4,1.875,64,6,16,8,3000
4361,3248,5.7,515,8,1.95,128,6,12,8,7000
4361,3291,5.7,515,8,1.95,128,6,12,8,7000
2536,3619,6,367,8,1.5,16,3,21.5,16,2700
3551,4408,5.46,538,4,1.875,128,6,12,16,4080
3551,4638,5.46,538,4,1.875,128,6,12,16,4080
3211,8016,5.5,534,4,1.975,128,6,20,8,3400
3260,8809,5.5,401,8,2.2,64,4,20,20,3000
3211,8946,5.5,534,4,1.975,128,6,20,8,3400
2536,9807,6,367,8,1.5,16,3,21.5,16,2700
